,sl_no,video_id,user_id,comment,likes,last_update_time,sentiment,sentiment_label,stemmed_text,stemmed_clean_text
246,247,Wo5dMEP_BbI,UCXhD8Km0lLiXgcR1_xP693w,"Stay indoors and safe during these troubled times buddy, we need you!",0,2020-04-16T01:24:13.000Z,-0.0625,neutral,stay indoor and safe dure these troubl time buddi we need you ,"['stay', 'indoor', 'safe', 'dure', 'troubl', 'time', 'buddi', 'need']"
247,248,Wo5dMEP_BbI,UCJhSn_JPhZLmb6eTH-PP2Qw,Hey! I wanted to ask if I have an option to solve my problem either using regression or classification which one is preferable?,1,2020-04-16T15:49:08.000Z,0.0,neutral,hey I want to ask if I have an option to solv my problem either use regress or classif which one is prefer ,"['hey', 'I', 'ask', 'I', 'option', 'solv', 'problem', 'either', 'use', 'regress', 'classif', 'prefer']"
248,249,Wo5dMEP_BbI,UC1jFu8RJBXDWCNtjE3bsQEA,its like the release of a part of my favorite movie series,1,2020-04-11T17:19:02.000Z,0.5,positive,it like the releas of a part of my favorit movi seri ,"['like', 'releas', 'part', 'favorit', 'movi', 'seri']"
249,250,Wo5dMEP_BbI,UCIr-aPejC_gtSe-HgtIbARQ,"Sentdex: ""I am speed..""",0,2020-04-11T15:57:19.000Z,0.0,neutral,sentdex I am speed ,"['sentdex', 'I', 'speed']"
250,251,Wo5dMEP_BbI,UCl4O2LiLuiYVDeobisoCZlg,The mathematical visualisation at the start was amazing!,0,2020-04-16T00:46:38.000Z,0.3750000000000001,positive,the mathemat visualis at the start wa amaz ,"['mathemat', 'visualis', 'start', 'wa', 'amaz']"
251,252,Wo5dMEP_BbI,UC86IAhr55y0oIPdHywsvf-A,The moment I saw the title.. I knew this was for me.,0,2020-04-15T16:03:43.000Z,0.0,neutral,the moment I saw the titl I knew thi wa for me ,"['moment', 'I', 'saw', 'titl', 'I', 'knew', 'wa']"
252,253,Wo5dMEP_BbI,UCRDgJIBcYgl8e4QgXR_FfrQ,"Nice! I was expecting this moment for a long time! I can't wait to buy the book, but for us in brazil is quite hard now, dolar is at 5.20~ reais =(",0,2020-04-14T19:56:16.000Z,-0.08854166666666667,neutral,nice I wa expect thi moment for a long time I ca wait to buy the book but for us in brazil is quit hard now dolar is at reai ,"['nice', 'I', 'wa', 'expect', 'moment', 'long', 'time', 'I', 'wait', 'buy', 'book', 'us', 'brazil', 'quit', 'hard', 'dolar', 'reai']"
253,254,Wo5dMEP_BbI,UCnv-xhCmi_Cx6-YKUSeJTQg,"0:27 numpy is a third party library, right?",0,2020-04-16T06:22:03.000Z,0.14285714285714285,neutral,numpi is a third parti librari right ,"['numpi', 'third', 'parti', 'librari', 'right']"
254,255,Wo5dMEP_BbI,UC_12KSBs4SEkgKR8_Lcm7oA,"Looking forward to this series, can't wait for part 2.",0,2020-04-14T17:33:54.000Z,0.0,neutral,look forward to thi seri ca wait for part 2 ,"['look', 'forward', 'seri', 'wait', 'part', '2']"
255,256,Wo5dMEP_BbI,UCdboRuW-D7Yv25RfcaJu_yw,I feel I should like this more than once.. I started this sometime but was discouraged.. Now I for see an interesting series.. Thanks so,0,2020-04-11T23:22:18.000Z,0.4,positive,I feel I should like thi more than onc I start thi sometim but wa discourag now I for see an interest seri thank so ,"['I', 'feel', 'I', 'like', 'onc', 'I', 'start', 'sometim', 'wa', 'discourag', 'I', 'see', 'interest', 'seri', 'thank']"
256,257,Wo5dMEP_BbI,UC8nJSubPZg4-UI8_H2w1JUA,This has been something I have been waiting for in a long time. Keep it up my guy,1,2020-04-11T16:54:26.000Z,-0.05,neutral,thi ha been someth I have been wait for in a long time keep it up my guy ,"['someth', 'I', 'wait', 'long', 'time', 'keep', 'guy']"
257,258,Wo5dMEP_BbI,UCU8zVB_68qZRJ4hEJ2uboBw,Me: **follows tut Also me: Realizes that this just dropped and can't go onto part two lol,0,2020-04-12T05:36:51.000Z,0.8,positive,Me follow tut also me realiz that thi just drop and ca go onto part two lol ,"['Me', 'follow', 'tut', 'realiz', 'drop', 'go', 'onto', 'part', 'two', 'lol']"
258,259,Wo5dMEP_BbI,UCTLjjEQj-FOjynwYOY0S9RA,Oh my god thanks! Do you know anyone that has similar things for and,1,2020-04-11T15:57:28.000Z,0.125,neutral,Oh my god thank Do you know anyon that ha similar thing for and ,"['Oh', 'god', 'thank', 'Do', 'know', 'anyon', 'similar', 'thing']"
259,260,Wo5dMEP_BbI,UC8ryttlNkiCtDwPnlK7Hvsw,"i really hope you mean FROM SCRATCH, do build normalization functions and optimizations yourself please",2,2020-04-12T20:19:00.000Z,-0.05625,neutral,i realli hope you mean from scratch do build normal function and optim yourself pleas ,"['realli', 'hope', 'mean', 'scratch', 'build', 'normal', 'function', 'optim', 'pleas']"
260,261,Wo5dMEP_BbI,UCUTVvK6KqNQV_1o7wLHNHAg,Awesome perfect timing as well as we are all stuck at home,9,2020-04-11T01:07:32.000Z,1.0,positive,awesom perfect time as well as we are all stuck at home ,"['awesom', 'perfect', 'time', 'well', 'stuck', 'home']"
261,262,Wo5dMEP_BbI,UCk70hLSMKEQgx6jFUrs-uLQ,I really needed this specially in this lockdown! Thanks a lot (: Love from,1,2020-04-11T16:00:55.000Z,0.3366071428571429,positive,I realli need thi special in thi lockdown thank a lot love from ,"['I', 'realli', 'need', 'special', 'lockdown', 'thank', 'lot', 'love']"
262,263,Wo5dMEP_BbI,UCtB_bHej4vbPElPgEuaGnlQ,Let's go! I already know there's gonna be so much to learn and enjoy. This dude is amazing,0,2020-04-11T15:22:25.000Z,0.4000000000000001,positive,let go I alreadi know there gon na be so much to learn and enjoy thi dude is amaz ,"['let', 'go', 'I', 'alreadi', 'know', 'gon', 'much', 'learn', 'enjoy', 'dude', 'amaz']"
263,264,Wo5dMEP_BbI,UCxFMU0anMvqVDwqc10TRNnQ,I love the boring company flamethrower in the backround. So many great things in this video!,0,2020-04-15T02:16:55.000Z,0.25,neutral,I love the bore compani flamethrow in the backround So mani great thing in thi video ,"['I', 'love', 'bore', 'compani', 'flamethrow', 'backround', 'So', 'mani', 'great', 'thing', 'video']"
264,265,Wo5dMEP_BbI,UC6CYB7YTn8u5b0HIQSLdcnw,"Wow, a sudden change in the graphics, thats very cool. Keep making videos related to Neural Networks, Pls !! I needed it a lot, all the good courses are paid else where and your channel is like a gem. Thanks",1,2020-04-11T15:09:07.000Z,0.2425,neutral,wow a sudden chang in the graphic that veri cool keep make video relat to neural network pl I need it a lot all the good cours are paid els where and your channel is like a gem thank ,"['wow', 'sudden', 'chang', 'graphic', 'veri', 'cool', 'keep', 'make', 'video', 'relat', 'neural', 'network', 'pl', 'I', 'need', 'lot', 'good', 'cours', 'paid', 'els', 'channel', 'like', 'gem', 'thank']"
265,266,Wo5dMEP_BbI,UCYRxdK1Pf-U0M2e6AXV4fMw,*_Bro I am learning Andrew's Deep Learning course. I am stuck in between and this helped me a lot_*,0,2020-04-13T13:48:00.000Z,0.0,neutral,I am learn andrew deep learn cours I am stuck in between and thi help me a ,"['I', 'learn', 'andrew', 'deep', 'learn', 'cours', 'I', 'stuck', 'help']"
266,267,Wo5dMEP_BbI,UCDJTYvGXXtXYOFQb1gkxW3w,I'm gonna like before watching. It feels like it's been a year waiting for that video to come up :D,0,2020-04-11T15:50:13.000Z,1.0,positive,I gon na like befor watch It feel like it been a year wait for that video to come up D ,"['I', 'gon', 'like', 'befor', 'watch', 'It', 'feel', 'like', 'year', 'wait', 'video', 'D']"
267,268,Wo5dMEP_BbI,UCMVk10w9oEXIUtkjZApDw_w,Really high quality content !!needed this specially in lockdown !! You are helping us to stay in home!! Could you please make video tutorials on CUDA with python /pytorch ?,1,2020-04-13T08:56:32.000Z,0.5922154017857143,positive,realli high qualiti content need thi special in lockdown you are help us to stay in home could you pleas make video tutori on cuda with python ,"['realli', 'high', 'qualiti', 'content', 'need', 'special', 'lockdown', 'help', 'us', 'stay', 'home', 'could', 'pleas', 'make', 'video', 'tutori', 'cuda', 'python']"
268,269,Wo5dMEP_BbI,UC5KeWZUyP4Tn6xIkdSWXjOg,i'm looking forward to the rest of this series,0,2020-04-15T19:29:19.000Z,0.0,neutral,i look forward to the rest of thi seri ,"['look', 'forward', 'rest', 'seri']"
269,270,Wo5dMEP_BbI,UCy5CW2Yn2yczCJ5a1CxbDhQ,"I found this channel today and I'm actually in love, how simply and swiftly you explain things, also considering all levels of viewers 'expertise'. Thank you so much, gonna impatiently wait for next video!",0,2020-04-17T02:45:03.000Z,0.25,neutral,I found thi channel today and I actual in love how simpli and swiftli you explain thing also consid all level of viewer thank you so much gon na impati wait for next video ,"['I', 'found', 'channel', 'today', 'I', 'actual', 'love', 'simpli', 'swiftli', 'explain', 'thing', 'consid', 'level', 'viewer', 'thank', 'much', 'gon', 'impati', 'wait', 'next', 'video']"
270,271,Wo5dMEP_BbI,UCiPf9uvO45NlIginGWaBKFg,"This looks simply awsome so far, soo excited to see the series grow <3",0,2020-04-13T16:53:23.000Z,0.36875,positive,thi look simpli awsom so far soo excit to see the seri grow 3 ,"['look', 'simpli', 'awsom', 'far', 'soo', 'excit', 'see', 'seri', 'grow', '3']"
271,272,Wo5dMEP_BbI,UCAscamz-YAZpZm4RrwwoJNA,It's rare to see so much nerdy stuff that's genuinly cool in the same background,0,2020-04-16T14:53:10.000Z,0.2125,neutral,It rare to see so much nerdi stuff that genuinli cool in the same background ,"['It', 'rare', 'see', 'much', 'nerdi', 'stuff', 'genuinli', 'cool', 'background']"
272,273,Wo5dMEP_BbI,UCZDt8IZ6OEpyIB6CmP3WBPQ,"This could have helped so good a year ago, still enjoying the video to see your approach. Keep up the good work!",0,2020-04-11T14:14:18.000Z,0.6916666666666668,positive,thi could have help so good a year ago still enjoy the video to see your approach keep up the good work ,"['could', 'help', 'good', 'year', 'ago', 'still', 'enjoy', 'video', 'see', 'approach', 'keep', 'good', 'work']"
273,274,Wo5dMEP_BbI,UCwQASa53nHT_Yi3c9fQqvxQ,"Alright, it's here. Time to learn.",1,2020-04-11T13:51:51.000Z,0.0,neutral,alright it here time to learn ,"['alright', 'time', 'learn']"
274,275,Wo5dMEP_BbI,UChlX3yOvGyraz2-4YhIQ22A,When does the next episode release xD (asking caz i can add to my calendar),0,2020-04-11T20:44:28.000Z,0.0,neutral,when doe the next episod releas xD ask caz i can add to my calendar ,"['doe', 'next', 'episod', 'releas', 'xD', 'ask', 'caz', 'add', 'calendar']"
275,276,Wo5dMEP_BbI,UCoX6zZLIU1n-HocMKAeWYcA,"I'm working with ML for almost 4 years in my fulltime job. I'm sure I will learn something here. Sentex, you and your team (if one exists) are just awesome. I hope you are aware of that (:",0,2020-04-11T14:39:47.000Z,0.5833333333333334,positive,I work with ML for almost 4 year in my fulltim job I sure I will learn someth here sentex you and your team if one exist are just awesom I hope you are awar of that ,"['I', 'work', 'ML', 'almost', '4', 'year', 'fulltim', 'job', 'I', 'sure', 'I', 'learn', 'someth', 'sentex', 'team', 'exist', 'awesom', 'I', 'hope', 'awar']"
276,277,Wo5dMEP_BbI,UCkBUW3ZCfM5qHC0QYgQc7tA,For extra info: NumPy = array library Matplotlib = graph library,11,2020-04-11T14:06:16.000Z,0.0,neutral,for extra info numpi array librari matplotlib graph librari ,"['extra', 'info', 'numpi', 'array', 'librari', 'matplotlib', 'graph', 'librari']"
277,278,Wo5dMEP_BbI,UC6M40r6wLXk2A5PtZuyc1dQ,Just for the record I came from the discord link on the first day itself.. This series seems,0,2020-04-13T17:15:49.000Z,0.25,neutral,just for the record I came from the discord link on the first day itself thi seri seem ,"['record', 'I', 'came', 'discord', 'link', 'first', 'day', 'seri', 'seem']"
278,279,Wo5dMEP_BbI,UCG8l9NNW5uQMSry8koHDdoA,"been trying to learn Python and ML. Thank you for this. As a visual learner, I really appreciate the walkthrough. It helps so much. Subscribed!",0,2020-04-12T22:21:14.000Z,0.15,neutral,been tri to learn python and ML thank you for thi As a visual learner I realli appreci the walkthrough It help so much subscrib ,"['learn', 'python', 'ML', 'thank', 'As', 'visual', 'learner', 'I', 'realli', 'appreci', 'walkthrough', 'It', 'help', 'much', 'subscrib']"
279,280,Wo5dMEP_BbI,UCT4RRJGQGr1QETjoUUOKFbg,"Thank you so much for making this series, I have been waiting impatiently for this and I just wanted to say you are awesome.",0,2020-04-15T12:53:47.000Z,0.3333333333333333,positive,thank you so much for make thi seri I have been wait impati for thi and I just want to say you are awesom ,"['thank', 'much', 'make', 'seri', 'I', 'wait', 'impati', 'I', 'say', 'awesom']"
280,281,Wo5dMEP_BbI,UCd1FJOB0ix6MnLM2aN3aKAQ,This is just amazing. I have taken a neural networks class at my graduate university and that is nowhere close to this. Keep it up! I am excited about this series. Pre-ordered the book!!,0,2020-04-16T18:55:08.000Z,0.66796875,positive,thi is just amaz I have taken a neural network class at my graduat univers and that is nowher close to thi keep it up I am excit about thi seri the book ,"['amaz', 'I', 'taken', 'neural', 'network', 'class', 'graduat', 'univers', 'nowher', 'close', 'keep', 'I', 'excit', 'seri', 'book']"
281,282,Wo5dMEP_BbI,UCRN4Bo_56kb7tlmN4gr53QA,"wanted to say ""first!"" but entered a time warp where it appears to have taken me 21 hours to shift from my phone notification to this video.",5,2020-04-11T13:55:39.000Z,0.3125,positive,want to say first but enter a time warp where it appear to have taken me 21 hour to shift from my phone notif to thi video ,"['say', 'first', 'enter', 'time', 'warp', 'appear', 'taken', '21', 'hour', 'shift', 'phone', 'notif', 'video']"
282,283,Wo5dMEP_BbI,UChJzD5o0NuY_W3tfZ3YZ4wg,"All of this sounds very interesting.. one of my most thought questions is: HOW do i choose the right type, size and number of layers for my ML Problem.. I think these question gets an answer in this series, or?",0,2020-04-11T18:06:45.000Z,0.4785714285714285,positive,all of thi sound veri interest one of my most thought question is how do i choos the right type size and number of layer for my ML problem I think these question get an answer in thi seri or ,"['sound', 'veri', 'interest', 'thought', 'question', 'choos', 'right', 'type', 'size', 'number', 'layer', 'ML', 'problem', 'I', 'think', 'question', 'get', 'answer', 'seri']"
283,284,Wo5dMEP_BbI,UCrtsztmLYdnqJgbpZJgf_4Q,"AWESOME! been waitin for this to finally be a thing after watching all of your other series, i have hit the brick wall of ""tutorials dont fix problems that havent been solved"".. really lookin forward to this one! thank you for your time and knowledge once again and for explaining in a mannor that is easy to follow, understand and comprehend! .. whens the next video gonna be released? lol",0,2020-04-12T13:57:38.000Z,0.3523809523809524,positive,awesom been waitin for thi to final be a thing after watch all of your other seri i have hit the brick wall of tutori dont fix problem that havent been solv realli lookin forward to thi one thank you for your time and knowledg onc again and for explain in a mannor that is easi to follow understand and comprehend when the next video gon na be releas lol ,"['awesom', 'waitin', 'final', 'thing', 'watch', 'seri', 'hit', 'brick', 'wall', 'tutori', 'dont', 'fix', 'problem', 'havent', 'solv', 'realli', 'lookin', 'forward', 'thank', 'time', 'knowledg', 'onc', 'explain', 'mannor', 'easi', 'follow', 'understand', 'comprehend', 'next', 'video', 'gon', 'releas', 'lol']"
284,285,Wo5dMEP_BbI,UCNHPhAwwIrmqKGCr5EddktA,Linus Torvalds would fall in love with sentdex for all the free (and quality) stuff he provides.. Like the rest of us,0,2020-04-11T16:37:49.000Z,0.45,positive,linu torvald would fall in love with sentdex for all the free and qualiti stuff he provid like the rest of us ,"['linu', 'torvald', 'would', 'fall', 'love', 'sentdex', 'free', 'qualiti', 'stuff', 'provid', 'like', 'rest', 'us']"
285,286,Wo5dMEP_BbI,UCK-87DUcUPYnWBS261hvniA,youtube just recommended me your channel with this video. Instant subscribe.,1,2020-04-15T21:27:32.000Z,0.0,neutral,youtub just recommend me your channel with thi video instant subscrib ,"['youtub', 'recommend', 'channel', 'video', 'instant', 'subscrib']"
286,287,Wo5dMEP_BbI,UC9dZ0tWFOgSRfp60_c13SKQ,God himself teaching us nn. Love from,3,2020-04-11T14:05:46.000Z,0.5,positive,god himself teach us nn love from ,"['god', 'teach', 'us', 'nn', 'love']"
287,288,Wo5dMEP_BbI,UCglktuLV6GWCg5MHdTGQYDQ,Sentdex helped me get through my final year with building a python game. Back for this!,0,2020-04-14T08:06:33.000Z,-0.13333333333333333,neutral,sentdex help me get through my final year with build a python game back for thi ,"['sentdex', 'help', 'get', 'final', 'year', 'build', 'python', 'game', 'back']"
288,289,Wo5dMEP_BbI,UCzZTksM1YYWYPLNJe-wEk7g,"Your timing on this is fantastic. I've been dissatisfied with High-level super-abstracted ML, so I taught myself Calculus and I've been studying neuroscience. My goal is to design ML ""circuits"" inside of neural networks, and specialize their design in the same way our own neurons are arranged by speciality. I love all your other videos and can already see how this is going to help me bridge the gap between neuroscience and Python.",0,2020-04-11T18:40:48.000Z,0.275,neutral,your time on thi is fantast I been dissatisfi with ML so I taught myself calculu and I been studi neurosci My goal is to design ML circuit insid of neural network and special their design in the same way our own neuron are arrang by special I love all your other video and can alreadi see how thi is go to help me bridg the gap between neurosci and python ,"['time', 'fantast', 'I', 'dissatisfi', 'ML', 'I', 'taught', 'calculu', 'I', 'studi', 'neurosci', 'My', 'goal', 'design', 'ML', 'circuit', 'insid', 'neural', 'network', 'special', 'design', 'way', 'neuron', 'arrang', 'special', 'I', 'love', 'video', 'alreadi', 'see', 'go', 'help', 'bridg', 'gap', 'neurosci', 'python']"
289,290,Wo5dMEP_BbI,UCVG7DJLkV6Ag-cW92DlVepQ,"Ih so in love with this already im eager for material, what is your plan for this series one video every week?",0,2020-04-11T15:21:54.000Z,0.5,positive,Ih so in love with thi alreadi im eager for materi what is your plan for thi seri one video everi week ,"['Ih', 'love', 'alreadi', 'eager', 'materi', 'plan', 'seri', 'video', 'everi', 'week']"
290,291,Wo5dMEP_BbI,UC1i-SO1zx9Q7G9tu0hTg6uw,Fun stuff! Looking forward to learning more about NN!,0,2020-04-15T12:27:50.000Z,0.5,positive,fun stuff look forward to learn more about NN ,"['fun', 'stuff', 'look', 'forward', 'learn', 'NN']"
291,292,Wo5dMEP_BbI,UCM2bRCaqw6vr1yrmTPE87hA,"""From scratch"" >> 3:23",3,2020-04-11T14:00:30.000Z,0.0,neutral,from scratch ,['scratch']
292,293,Wo5dMEP_BbI,UC-DFTzY30xX1S-6kO-1dipw,"Please do more, i feel like i watched the basics of Neural Networks like 10 times but no one really gets deeps in",0,2020-04-15T02:40:54.000Z,0.35,positive,pleas do more i feel like i watch the basic of neural network like 10 time but no one realli get deep in ,"['pleas', 'feel', 'like', 'watch', 'basic', 'neural', 'network', 'like', '10', 'time', 'realli', 'get', 'deep']"
293,294,Wo5dMEP_BbI,UCJvgNpwGaaTZO1HvPfUF5Qw,"I recently started using Tensorflow.keras for deep learning and I honestly was stuck on a lot of issues mainly the poor predictions on real life data and camera feed I over came by basically just taking away things like background in the frame..I do understand how many of the NNs work at an intuitive level but somewhere deep down I feel like ""anyone can make a model with keras why would someone wanna hire me on any AI related team"" so thank you for this series",0,2020-04-12T19:51:12.000Z,0.09111111111111113,neutral,I recent start use for deep learn and I honestli wa stuck on a lot of issu mainli the poor predict on real life data and camera feed I over came by basic just take away thing like background in the frame I do understand how mani of the nn work at an intuit level but somewher deep down I feel like anyon can make a model with kera whi would someon wan na hire me on ani AI relat team so thank you for thi seri ,"['I', 'recent', 'start', 'use', 'deep', 'learn', 'I', 'honestli', 'wa', 'stuck', 'lot', 'issu', 'mainli', 'poor', 'predict', 'real', 'life', 'data', 'camera', 'feed', 'I', 'came', 'basic', 'away', 'thing', 'like', 'background', 'frame', 'I', 'understand', 'mani', 'nn', 'work', 'intuit', 'level', 'somewher', 'deep', 'I', 'feel', 'like', 'anyon', 'make', 'model', 'kera', 'whi', 'would', 'someon', 'wan', 'hire', 'ani', 'AI', 'relat', 'team', 'thank', 'seri']"
294,295,Wo5dMEP_BbI,UCYluKfeeu7f2VemRLFE1dRA,This series is so revolutionary already. Sentdex wuhoo!,0,2020-04-17T09:28:07.000Z,0.0,neutral,thi seri is so revolutionari alreadi sentdex wuhoo ,"['seri', 'revolutionari', 'alreadi', 'sentdex', 'wuhoo']"
295,296,Wo5dMEP_BbI,UCjkdfmkv0p0LcZyep6XIVEg,"I'm happy for it is started. I'm trying to build my little NN based on numpy. So, I am curious how somethings like backpropagate developed. Different approach makes understand it deeply. Thank you :)",0,2020-04-13T09:40:03.000Z,0.15892857142857145,neutral,I happi for it is start I tri to build my littl NN base on numpi So I am curiou how someth like backpropag develop differ approach make understand it deepli thank you ,"['I', 'happi', 'start', 'I', 'build', 'littl', 'NN', 'base', 'numpi', 'So', 'I', 'curiou', 'someth', 'like', 'backpropag', 'develop', 'differ', 'approach', 'make', 'understand', 'deepli', 'thank']"
296,297,Wo5dMEP_BbI,UC8ij6-Ugr_fETiFxmSTEpQQ,"Waiting patiently for the next vid, I dont understand the hole process behind ml by hsing sci kit learn",0,2020-04-14T21:42:04.000Z,-0.2,neutral,wait patient for the next vid I dont understand the hole process behind ml by hsing sci kit learn ,"['wait', 'patient', 'next', 'I', 'dont', 'understand', 'hole', 'process', 'behind', 'ml', 'hsing', 'sci', 'kit', 'learn']"
297,298,Wo5dMEP_BbI,UCuinIPfXruBpMe9mwnopKLw,"Finally was able to pre-order! This, I think, will help a lot with a research paper I am co-authoring for my text classification algo at VCU.. And if not, still happy to support you.",0,2020-04-11T14:40:37.000Z,0.475,positive,final wa abl to thi I think will help a lot with a research paper I am for my text classif algo at vcu and if not still happi to support you ,"['final', 'wa', 'abl', 'I', 'think', 'help', 'lot', 'research', 'paper', 'I', 'text', 'classif', 'vcu', 'still', 'happi', 'support']"
298,299,Wo5dMEP_BbI,UC_uAYPevuDBjS_PQ6Cv34gA,I just started deep learning framework tf and keras from udemy. Will begin this series right after I finish that. Thanks lord sentdex,0,2020-04-14T09:22:33.000Z,0.1619047619047619,neutral,I just start deep learn framework tf and kera from udemi will begin thi seri right after I finish that thank lord sentdex ,"['I', 'start', 'deep', 'learn', 'framework', 'tf', 'kera', 'udemi', 'begin', 'seri', 'right', 'I', 'finish', 'thank', 'lord', 'sentdex']"
299,300,Wo5dMEP_BbI,UCTXdVKaP2kV-g7bitMcYWkg,Quarantined inside my room. This is just what I,0,2020-04-11T15:55:02.000Z,0.0,neutral,quarantin insid my room thi is just what I ,"['quarantin', 'insid', 'room', 'I']"
300,301,vu8ZsKK6AWA,UC2U5T2clUcNvgiCd6ckmdVg,Did anyone else click on the video just so they could see the like-dislike bar?,49,2020-01-02T14:22:45.000Z,0.0,neutral,did anyon els click on the video just so they could see the bar ,"['anyon', 'els', 'click', 'video', 'could', 'see', 'bar']"
301,302,vu8ZsKK6AWA,UCnCBYlPiR77al_z4UnVSE4A,Now a days I am more entertained on comments than his video content :).,154,2020-01-02T04:53:08.000Z,0.5,positive,now a day I am more entertain on comment than hi video content ,"['day', 'I', 'entertain', 'comment', 'hi', 'video', 'content']"
302,303,vu8ZsKK6AWA,UC2TmkxogVwGYCVWUnDsCY7w,"*YOU WENT FULL GURU, MAN! NEVER GO FULL GURU.*",47,2020-01-03T04:57:08.000Z,0.39375,positive,you went full guru man never GO full guru ,"['went', 'full', 'guru', 'never', 'GO', 'full', 'guru']"
303,304,vu8ZsKK6AWA,UC3DACiwQyI6GaJ4pYzY6Zwg,"We live in a simulation, so everything is a fake..hmm, that reminds me of something",33,2020-01-02T17:30:29.000Z,0.13636363636363635,neutral,We live in a simul so everyth is a fake hmm that remind me of someth ,"['We', 'live', 'simul', 'everyth', 'fake', 'hmm', 'remind', 'someth']"
304,305,vu8ZsKK6AWA,UCXgnOn5Ge9EwAwA1tjujjMQ,The like and dislike ratio is the same Perfectly balanced..,15,2020-01-06T04:47:33.000Z,0.5,positive,the like and dislik ratio is the same perfectli balanc ,"['like', 'dislik', 'ratio', 'perfectli', 'balanc']"
305,306,vu8ZsKK6AWA,UCBZW10uGoKhfWAT8o53vF9g,New year party gone wrong,161,2020-01-01T17:04:35.000Z,-0.18181818181818185,neutral,new year parti gone wrong ,"['new', 'year', 'parti', 'gone', 'wrong']"
306,307,vu8ZsKK6AWA,UCXbceQe4yYukmgc2U94Rpig,"There was the time ,we were there for technical content he is coming back guys",158,2020-01-13T03:24:14.000Z,0.0,neutral,there wa the time we were there for technic content he is come back guy ,"['wa', 'time', 'technic', 'content', 'back', 'guy']"
307,308,vu8ZsKK6AWA,UC2AnO8-4pT8cBeWCCY8_OxA,dude take a break! we are still healing.,5,2020-01-07T06:07:02.000Z,0.0,neutral,dude take a break we are still heal ,"['dude', 'break', 'still', 'heal']"
308,309,vu8ZsKK6AWA,UCCVfjkEnKlkAa7wmyo9QzKA,Weird how Solipsism has become cool again. Guess that's what happens when CS people refuse to take philosophy courses.,14,2020-01-02T16:37:12.000Z,-0.07500000000000001,neutral,weird how solips ha becom cool again guess that what happen when CS peopl refus to take philosophi cours ,"['weird', 'solips', 'becom', 'cool', 'guess', 'happen', 'CS', 'peopl', 'refus', 'philosophi', 'cours']"
309,310,vu8ZsKK6AWA,UCxvLweB7N1oY8lAUKCAcszg,"so if you are in a simulation technically you don't need to credit to other coders because they are NPC, BIG BRAIN!",6,2020-01-02T11:39:50.000Z,-0.04166666666666666,neutral,so if you are in a simul technic you do need to credit to other coder becaus they are npc big brain ,"['simul', 'technic', 'need', 'credit', 'coder', 'becaus', 'npc', 'big', 'brain']"
310,311,vu8ZsKK6AWA,UCklYFlwYOxUPougzY1ck4uA,Dude Despite the Fact that some people may have asked their refund out of date.. Please refund those people who mostly come from rural places .. its hard to make money when you come from a third world country,6,2020-01-02T15:25:18.000Z,0.05208333333333333,neutral,dude despit the fact that some peopl may have ask their refund out of date pleas refund those peopl who mostli come from rural place it hard to make money when you come from a third world countri ,"['dude', 'despit', 'fact', 'peopl', 'may', 'ask', 'refund', 'date', 'pleas', 'refund', 'peopl', 'mostli', 'rural', 'place', 'hard', 'make', 'money', 'third', 'world', 'countri']"
311,312,vu8ZsKK6AWA,UCoygj8bxRNqVlhIA9gbtJ6A,"I was hoping he would go back to doing tutorials, these videos make me feel bad for you. Hope you get better!",5,2020-01-03T03:26:14.000Z,-0.02499999999999995,neutral,I wa hope he would go back to do tutori these video make me feel bad for you hope you get better ,"['I', 'wa', 'hope', 'would', 'go', 'back', 'tutori', 'video', 'make', 'feel', 'bad', 'hope', 'get', 'better']"
312,313,vu8ZsKK6AWA,UCOzZTXNS0QwQeZZZPGch1dg,"Everyone makes mistake..Had I been at your place, I would have realized my mistake , worked my ass off..would have got off the internet for some time ,..and created something to help the community..as in a course or platform or smthing cool",7,2020-01-02T18:34:55.000Z,0.35,positive,everyon make mistak had I been at your place I would have realiz my mistak work my ass off would have got off the internet for some time and creat someth to help the commun as in a cours or platform or smthing cool ,"['everyon', 'make', 'mistak', 'I', 'place', 'I', 'would', 'realiz', 'mistak', 'work', 'ass', 'would', 'got', 'internet', 'time', 'creat', 'someth', 'help', 'commun', 'cours', 'platform', 'smthing', 'cool']"
313,314,vu8ZsKK6AWA,UCI2a9KIJvFwN69YaJ-3kYZQ,Hello Siraj if you gonna make more of this kind a videos would you please do in a second channel? I really like your work an I don't wanna to unsubscribe. Happy new year.,6,2020-01-02T15:04:02.000Z,0.3727272727272728,positive,hello siraj if you gon na make more of thi kind a video would you pleas do in a second channel I realli like your work an I do wan na to unsubscrib happi new year ,"['hello', 'siraj', 'gon', 'make', 'kind', 'video', 'would', 'pleas', 'second', 'channel', 'I', 'realli', 'like', 'work', 'I', 'wan', 'unsubscrib', 'happi', 'new', 'year']"
314,315,vu8ZsKK6AWA,UCnt8LC8bZGM43U3L5qIofjQ,None of the things he mentioned proves his point. I think he is starting his own religion.,4,2020-01-02T03:50:40.000Z,0.3,neutral,none of the thing he mention prove hi point I think he is start hi own religion ,"['none', 'thing', 'mention', 'prove', 'hi', 'point', 'I', 'think', 'start', 'hi', 'religion']"
